	MachineNumber	machine_type_basename	FakeCountry	SiteId	SiteNumber	SiteName1	sq_hr	price_euro	type	size	overutilization	swap_up_with	swap_down_with	usageMedian	usageQ3	usageQ1	assetUti	utilization	relocated	contract	cost_negot	other_available	other_in_proximity	bigger_fit_doors	storage_closet	skills_in_team	recommendation	upgrade_to	downgrade_to	reasons	quant_underutilized	quant_overutilized
34	301389561	swingo 455	Netherlands	54262	1124089	Politie loc. Hermandad	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	10.799999999999999	12.6	8.85	0.0887096774194	under	0	0	1	0	1	1	1	1				['contract', 'other_available']	1642.2	
35	10497	swingo 455	Norway	54288	10497	Tine Oslo	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	33.0	34.8	31.200000000000003	0.170454545455	under	1	1	1	0	1	1	1	1				['other_available']	1642.2	
36	10542	swingo 455	Norway	54201	10542	Jernebaneverket Marienborg	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	20.7	25.2	17.4	0.191666666667	under	0	1	1	1	0	1	1	1				['other_in_proximity']	1642.2	
37	10597	swingo 455	Norway	54476	10597	Skatt Øst	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	21.0	24.9	19.650000000000002	0.0886075949367	under	0	1	1	1	1	1	0	1				['storage_closet']	1642.2	
38	10541	swingo 455	Norway	54211	10541	Europris Vikersund	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	64.80000000000001	69.0	33.6	0.409448818898	over	0	1	1	1	1	1	1	1	upgrade	swingo 855 Power				
39	301386280	swingo 455	Netherlands	54253	2283189	ENEXIS BV	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	77.4	80.4	75.3	1.0	over	0	1	1	0	1	0	1	1				['other_available', 'bigger_fit_doors']		
40	301386328	swingo 455	Netherlands	54254	2277619	ENEXIS BV loc. Jan Olieslagerweg	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	17.4	21.599999999999998	14.399999999999999	0.113636363636	under	1	1	1	0	0	1	1	1				['other_available', 'other_in_proximity']	1642.2	
41	301386327	swingo 455	Netherlands	54252	2283166	PoortCentraal	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	16.8	21.599999999999998	13.8	0.376068376068		0	1	1	0	1	1	1	1				['other_available']		
42	301361243	swingo 455	Netherlands	52650	1640673	Gelre Ziekenhuis Loc.Lukas	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	16.8	22.2	12.6	0.244186046512	under	1	0	1	0	1	1	1	1				['contract', 'other_available']	1642.2	
43	301359527	swingo 455	Belgium	52640	1698205	De Ster nv	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	20.400000000000002	22.2	19.2	0.269230769231	under	1	1	1	1	1	1	1	1	downgrade		swingo 350		1642.2	
44	301359529	swingo 455	Belgium	52612	1903356	Distrilim (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	14.399999999999999	18.3	12.0	0.0666666666667	under	1	0	0	1	0	1	1	0				['contract', 'cost_negot', 'other_in_proximity', 'skills_in_team']	1642.2	
45	20733	swingo 455	Finland	51910	18	Tarvikevarasto	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	33.300000000000004	64.80000000000001	8.25	0.0687022900763	under	0	1	1	0	1	1	1	1				['other_available']	1642.2	
46	301359528	swingo 455	Belgium	52616	1937551	Gijbels (ISS NV)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	23.400000000000002	25.65	20.55	0.141935483871	under	1	0	0	0	1	1	1	1				['contract', 'cost_negot', 'other_available']	1642.2	
47	301361246	swingo 455	Netherlands	52654	2251093	Zinzia Zorggroep	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	19.8	21.0	17.849999999999998	0.241830065359	under	1	1	1	1	1	1	0	1				['storage_closet']	1642.2	
48	301349832	swingo 455	Belgium	51994	1438644	Kbc Ccm1	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	75.6	90.0	67.8	0.348101265823	over	0	1	1	1	1	0	1	1				['bigger_fit_doors']		
49	301349708	swingo 455	Netherlands	57608	2005984	Yulius	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	21.599999999999998	23.549999999999997	19.8	0.482142857143		0	1	1	1	1	1	1	1						
50	301357226	swingo 455	Belgium	52634	2166607	DSV Solutions (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	66.60000000000001	81.3	34.5	0.335443037975	over	0	1	1	1	1	1	1	1	upgrade	swingo 855 Power				
51	301351848	swingo 455	Netherlands	51771	1086684	ISS C&C p/a Academisch Zkhs	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	15.600000000000001	16.200000000000003	14.399999999999999	0.376543209877		0	1	1	0	1	0	1	1				['other_available', 'bigger_fit_doors']		
52	301358164	swingo 455	Belgium	52635	2062068	Gent Coal Terminal - Sea Invest	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	203.1	255.0	140.85000000000002	0.670807453416	over	0	0	1	1	1	1	1	1				['contract']		
53	301348962	swingo 455	Belgium	51996	2071105	Axalta Coating Systems	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	14.399999999999999	17.4	13.5	0.326923076923		0	0	0	0	1	1	1	1				['contract', 'cost_negot', 'other_available']		
54	301361248	swingo 455	Netherlands	52656	1121807	Gelderse Vallei	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	23.700000000000003	26.4	19.8	0.544303797468		0	0	0	0	0	1	1	1				['contract', 'cost_negot', 'other_available', 'other_in_proximity']		
55	301359892	swingo 455	Belgium	52621	2254722	Mineral Products Intern (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	16.8	19.2	13.2	0.147651006711	under	1	1	1	0	1	1	1	1				['other_available']	1642.2	
56	301361249	swingo 455	Netherlands	52658	1035756	Prinsenstichting	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	17.4	19.2	15.600000000000001	0.176100628931	under	0	0	0	0	1	1	1	1				['contract', 'cost_negot', 'other_available']	1642.2	
57	301359525	swingo 455	Belgium	52620	1768348	Logibel (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	33.300000000000004	62.85000000000001	28.2	0.121621621622	under	0	0	0	1	1	1	0	1				['contract', 'cost_negot', 'storage_closet']	1642.2	
58	301361247	swingo 455	Netherlands	52655	2251094	Rijnhof Renkum	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	18.6	21.750000000000004	15.600000000000001	0.0752688172043	under	0	1	1	1	0	0	0	0				['other_in_proximity', 'bigger_fit_doors', 'storage_closet', 'skills_in_team']	1642.2	
59	301370451	swingo 455	Netherlands	52645	10866841	Academisch Zkhs	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	25.8	30.749999999999996	21.3	0.618421052632		0	1	1	0	1	1	1	1				['other_available']		
60	301369324	swingo 455	Belgium	53042	1921645	Cimenteries CBR (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	27.0	48.0	16.200000000000003	0.652173913043		0	0	0	1	1	1	1	1				['contract', 'cost_negot']		
61	20841	swingo 455	Finland	53394	84	Eltete TPM Oy	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	33.6	67.2	25.2	0.0326086956522	under	0	1	1	1	1	1	1	1	downgrade		swingo 350		1642.2	
62	301366623	swingo 455	Belgium	52978	2201199	Bs Klim-Op (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	93.60000000000001	131.54999999999998	73.05	0.328859060403	over	0	1	1	1	0	1	1	1				['other_in_proximity']		
63	301359891	swingo 455	Belgium	52608	2246823	Croix Rouge de Belgique (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	25.2	28.2	23.400000000000002	0.197452229299	under	1	0	0	1	0	0	1	1				['contract', 'cost_negot', 'other_in_proximity', 'bigger_fit_doors']	1642.2	
64	301355768	swingo 455	Belgium	52637	1219735	Toyota SA	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	19.2	24.0	16.8	0.698113207547		0	1	1	1	1	1	1	0				['skills_in_team']		
65	301363484	swingo 455	Netherlands	52661	2234574	KLPD Driebergen	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	71.69999999999999	80.4	61.650000000000006		over	0	1	1	1	1	1	1	1	upgrade	swingo 855 Power				
66	21210	swingo 455	Finland	53408	98	Neste Kilpilahti / jakeluterminaali toimisto	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	23.400000000000002	28.2	20.55	0.0884353741497	under	1	1	1	1	0	1	1	0				['other_in_proximity', 'skills_in_team']	1642.2	
67	301363485	swingo 455	Netherlands	52663	1783451	Bronovo	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	64.80000000000001	71.39999999999999	9.6	0.697530864198	over	0	1	1	0	1	1	1	1				['other_available']		
68	301359530	swingo 455	Belgium	52626	1666535	Sint-Baafs Kerkfabriek (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	16.8	28.5	2.25	0.291925465839	under	0	1	1	0	0	1	1	1				['other_available', 'other_in_proximity']	1642.2	
69	301359524	swingo 455	Belgium	52617	1266950	Group 4 (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	18.6	25.500000000000004	15.75	0.691823899371		0	1	1	1	0	1	1	1				['other_in_proximity']		
70	301363486	swingo 455	Netherlands	52665	2078237	Ziekenhuis Langeland	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	24.0	26.4	22.2	0.685534591195		0	1	1	1	1	1	1	1						
71	301373519	swingo 455	Belgium	53340	1701324	Europabank (ISS)	669.9	3284.4	Walkbehind	Small	60	swingo 855 Power	swingo 350	33.0	63.0	25.2	0.148387096774	under	0	1	1	1	1	1	1	1	downgrade		swingo 350		1642.2	
