BoxId,BoxSerial,BoxDesignation,MachineId,MachineNumber,MachineDesignation,MachineDesignation2,MachineTypId,MachineTypDesignation,MachineFamilyId,MachineFamilydesignation,ManufacturerId,ManufacturerNumber,ManufacturerName1,ManufacturerName2,ManufacturerStreet,ManufacturerPostalCode,ManufacturerCity,Date,IndustrialHours,Hours,CustomerId,CustomerNumber,CustomerName1,CustomerName2,CustomerStreet,CustomerPostalCode,CustomerCity,SiteId,SiteNumber,SiteName1,SiteName2,SiteStreet,SitePostalcode,SiteCity,Latitude,Longitude,GeoFenceRadius,ClientId,ClientName1,ClientName2,ClientStreet,ClientPostalcode,ClientCity,FakeCountry
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,4/1/17,0.48,0.29,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,5/1/17,0.53,0.32,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,7/1/17,0.48,0.29,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,9/1/17,0.67,0.4,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,10/1/17,0.68,0.41,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,11/1/17,0.68,0.41,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,12/1/17,0.48,0.29,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,1/13/2017,0.67,0.4,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,1/14/2017,0.65,0.39,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
892,3X35660B06001300,MTR2.5 - 3X35660B06001300 - 04.08.2014.,459,29752,3070999,NULL,55,TASKI swingo 755 Power BMS,24,Kombiskurmaskiner,20,1,Diversey Sverige AB,NULL,Liljeholmsv.18,117 61,Stockholm,1/16/2017,0.68,0.41,744,2,Jula,,Saluvägen 2,18766 Täby,Stockholm,51688,4,Jula Barkaby,,Enköpingsvägen 31,177 38    ,Järfälla,59.41380942,17.85552935,50,497,ISS Sweden,,Årstaängsvägen 11,117 43    ,Stockholm,Sweden
